bus_id,subway1,time1,subway2,time2,subway3,time3,subway4,time4,subway5,time5
400030,627,506,628,518,Q03,554,B08,864,A22,948
400034,626,420,627,592,Q04,687,A20,999,625,1014
400036,626,263,Q04,539,625,783,627,814,A20,964
400037,626,405,625,629,Q04,678,Q05,895,627,956
400038,625,476,626,563,Q05,736,Q04,839,624,912
400041,625,407,624,549,Q05,609,A19,910,623,956
400053,621,318,225,448,622,695,226,789,A15,1021
400055,621,411,225,516,224,786,622,934,A15,1006
400056,621,533,225,638,224,668,416,897,622,1056
400095,224,432,225,642,621,779,416,884,302,973
400096,225,521,224,549,621,665,416,1001,A15,1001
400097,225,399,621,543,224,667,A15,891,226,939
400234,225,478,224,540,A15,553,A14,760,A16,990
400280,224,447,A14,602,225,625,A15,634,302,1037
400281,225,522,A15,536,224,551,A14,706,A16,972
400423,111,10,A06,475,110,566,A07,629,A09,874
400453,111,70,A06,475,A07,569,110,656,A09,806
400599,118,292,117,405,119,671,A17,858,116,1079
400602,117,397,116,621,118,709,A15,962,A16,1042
400644,A06,120,A07,337,111,373,A05,779,110,959
400752,123,264,122,576,124,691,A22,752,121,1066
400755,122,320,123,613,121,794,A21,999,124,1040
400756,122,251,121,666,123,734,A21,924,120,1159
400759,121,412,122,579,120,852,A20,979,123,1036
400760,121,356,120,702,122,727,A20,870,123,1190
400761,121,468,120,566,122,857,A20,977,119,1097
400762,120,472,121,513,122,947,119,1003,A20,1022
400764,120,401,119,643,A19,868,121,919,118,960
400768,119,332,118,379,117,736,120,865,A18,919
400769,118,231,119,417,117,588,A17,828,120,950
400771,117,275,118,436,119,818,116,910,A17,1002
400772,117,244,118,553,116,798,119,935,A16,1046
400832,117,461,116,657,118,764,A15,1004,A16,1080
400834,117,336,118,558,116,880,119,950,A17,1124
400835,117,354,118,440,119,830,116,989,A17,1006
400836,118,337,117,450,119,723,A17,903,116,1124
400837,119,488,118,508,117,700,120,1021,A18,1059
400838,119,371,118,418,117,775,120,919,A18,967
400840,119,524,120,561,118,831,A18,1021,A19,1028
400841,120,427,119,667,A19,894,121,945,118,994
400843,120,459,121,531,122,956,119,990,A20,1038
400846,121,367,122,620,120,801,A20,928,123,1083
400847,121,466,122,499,120,929,123,962,A21,983
400848,122,384,121,543,123,847,A21,868,120,1037
400849,122,269,121,650,123,752,A21,910,120,1143
400851,122,431,123,559,121,900,124,986,A22,1047
400852,123,405,122,556,124,828,A22,893,121,1030
400853,123,181,122,572,124,608,A22,667,121,1062
401094,A21,436,A20,444,121,494,122,601,A22,977
401141,F16,535,M18,598,F15,663,D22,848,M19,1065
401142,F16,644,M18,719,F15,784,D22,969,M19,1186
401147,F16,611,M18,630,F15,688,D22,881,M19,1098
401148,M18,529,F16,534,F15,587,D22,780,M19,997
401182,L06,277,L05,626,635,945,L03,975,636,1088
401195,L06,249,L05,595,635,914,L03,944,636,1057
401338,A20,217,A21,218,121,682,A19,741,A22,752
401445,116,316,A15,377,115,864,A14,890,A16,894
401446,116,304,A15,435,115,795,A14,833,A16,952
401447,116,430,A15,577,115,655,A14,721,A12,1062
401458,116,363,A15,522,115,740,A14,786,A16,1039
401459,116,312,A15,428,115,803,A14,861,A16,945
401462,116,452,A15,454,117,669,A16,730,225,950
401548,L06,525,636,867,L05,869,F14,963,M18,1009
401549,L06,698,L05,1043,636,1044,F14,1126,M18,1172
